id;en-EN;it-IT;nb-NO
0;Hello!;Ciao!;Hei!
1;Hi!;Ciao!;Hei!
2;Good morning!;Buongiorno!;God morgen!
3;Good afternoon!;Buon pomeriggio!;God ettermiddag!
4;Good evening!;Buonasera!;God kveld!
5;How are you?;Come stai?;Hvordan har du det?
6;I'm fine, thank you.;Sto bene, grazie.;Jeg har det bra, takk.
7;What's your name?;Come ti chiami?;Hva heter du?
8;Nice to meet you.;Piacere di conoscerti.;Hyggelig å møte deg.
9;Where are you from?;Di dove sei?;Hvor er du fra?
10;I'm from [country].;Sono di [paese].;Jeg er fra [land].
11;What do you do for a living?;Cosa fai nella vita?;Hva jobber du med?
12;I'm a [profession].;Sono [professione].;Jeg er [yrke].
13;How old are you?;Quanti anni hai?;Hvor gammel er du?
14;I'm [age] years old.;Ho [età] anni.;Jeg er [alder] år gammel.
15;Where do you live?;Dove abiti?;Hvor bor du?
16;I live in [city/country].;Abito a [città/paese].;Jeg bor i [by/land].
17;What is your favorite food?;Qual è il tuo cibo preferito?;Hva er din favorittmat?
18;My favorite food is [food].;Il mio cibo preferito è [cibo].;Min favorittmat er [mat].
19;Do you speak English?;Parli inglese?;Snakker du engelsk?
20;Yes, I speak English.;Sì, parlo inglese.;Ja, jeg snakker engelsk.
21;No, I don't speak English.;No, non parlo inglese.;Nei, jeg snakker ikke engelsk.
22;Can you help me?;Puoi aiutarmi?;Kan du hjelpe meg?
23;I need assistance, please.;Ho bisogno di assistenza, per favore.;Jeg trenger hjelp, vær så snill.
24;Excuse me.;Mi scusi.;Unnskyld.
25;I'm sorry.;Mi dispiace.;Jeg beklager.
26;Thank you.;Grazie.;Takk.
27;You're welcome.;Prego.;Vær så god.
28;Please.;Per favore.;Vær så snill.
29;Yes.;Sì.;Ja.
30;No.;No.;Nei.
31;I don't understand.;Non capisco.;Jeg forstår ikke.
32;Could you repeat that, please?;Potresti ripetere, per favore?;Kan du gjenta det, vær så snill?
33;I'm lost.;Mi sono perso.;Jeg har gått meg bort.
34;Where is the restroom?;Dov'è il bagno?;Hvor er toalettet?
