id,word
0,io
1,tu
2,"egli, lui"
3,noi
4,voi
5,"loro, essi"
6,questo
7,quello
8,"qui, qua"
9,"lì, là"
10,chi
11,"che, cosa"
12,dove
13,quando
14,come
15,non
16,tutto
17,tanto
18,alcuni
19,poco
20,altro
21,"un, uno, una, un'"
22,due
23,tre
24,quattro
25,cinque
26,grande
27,lungo
28,largo
29,spesso
30,pesante
31,piccolo
32,corto
33,stretto
34,sottile
35,donna
36,uomo
37,persona
38,bambino
39,moglie
40,marito
41,madre
42,padre
43,animale
44,pesce
45,uccello
46,cane
47,pidocchio
48,serpente
49,verme
50,"albero, pianta"
51,"foresta, bosco"
52,bastone
53,frutta
54,seme
55,foglia
56,radice
57,corteccia
58,fiore
59,erba
60,"corda, fune"
61,pelle
62,carne
63,sangue
64,osso
65,grasso
66,uovo
67,corno
68,coda
69,penna
70,capello
71,testa
72,orecchio
73,occhio
74,naso
75,bocca
76,dente
77,lingua
78,unghia
79,piede
80,gamba
81,ginocchio
82,mano
83,ala
84,pancia
85,intestino
86,collo
87,schiena
88,petto
89,cuore
90,fegato
91,bere
92,mangiare
93,mordere
94,succhiare
95,sputare
96,vomitare
97,soffiare
98,respirare
99,ridere
100,vedere
101,sentire
102,sapere
103,pensare
104,odorare
105,temere
106,dormire
107,vivere
108,morire
109,"uccidere, ammazzare"
110,combattere
111,cacciare
112,colpire
113,tagliare
114,dividere
115,pugnalare
116,graffiare
117,scavare
118,nuotare
119,volare
120,camminare
121,venire
122,"distendersi, giacere"
123,sedersi
124,"stare in piedi, stare eretto"
125,girare
126,cadere
127,dare
128,tenere
129,spremere
130,strofinare
131,lavare
132,asciugare
133,tirare
134,spingere
135,lanciare
136,legare
137,cucire
138,contare
139,dire
140,cantare
141,giocare
142,galleggiare
143,"fluire, scorrere"
144,gelare
145,gonfiare
146,sole
147,luna
148,stella
149,acqua
150,pioggia
151,fiume
152,lago
153,mare
154,sale
155,"sasso, pietra"
156,sabbia
157,polvere
158,"terra, mondo"
159,nuvola
160,nebbia
161,cielo
162,vento
163,neve
164,ghiaccio
165,fumo
166,fuoco
167,cenere
168,bruciare
169,strada
170,montagna
171,rosso
172,verde
173,giallo
174,bianco
175,nero
176,notte
177,giorno
178,anno
179,caldo
180,freddo
181,pieno
182,nuovo
183,vecchio
184,buono
185,cattivo
186,marcio
187,sporco
188,dritto
189,rotondo
190,affilato
191,smussato
192,liscio
193,bagnato
194,secco
195,"giusto, corretto"
196,vicino
197,lontano
198,destra
199,sinistra
200,a
201,in
202,con
203,e
204,se
205,perché
206,nome
