id;en-EN;it-IT;nb-NO;es-ES
0;Do you come here often?;Vieni qui spesso?;Kommer du hit ofte?;¿Vienes aquí a menudo?
1;This place is really nice.;Questo posto è davvero bello.;Dette stedet er veldig fint.;Este lugar es realmente bonito.
2;What kind of music do you like?;Che tipo di musica ti piace?;Hva slags musikk liker du?;¿Qué tipo de música te gusta?
3;Do you like to dance?;Ti piace ballare?;Liker du å danse?;¿Te gusta bailar?
4;What's your favorite movie?;Qual è il tuo film preferito?;Hva er din favorittfilm?;¿Cuál es tu película favorita?
5;I love your smile.;Adoro il tuo sorriso.;Jeg elsker smilet ditt.;Me encanta tu sonrisa.
6;You look great tonight.;Stasera sei bellissimo/a.;Du ser flott ut i kveld.;Te ves genial esta noche.
7;What's your favorite book?;Qual è il tuo libro preferito?;Hva er din favorittbok?;¿Cuál es tu libro favorito?
8;Do you enjoy traveling?;Ti piace viaggiare?;Liker du å reise?;¿Disfrutas viajar?
9;What's the most interesting place you've visited?;Qual è il posto più interessante che hai visitato?;Hva er det mest interessante stedet du har besøkt?;¿Cuál es el lugar más interesante que has visitado?
10;Are you more of a morning person or a night owl?;Sei più una persona mattutina o notturna?;Er du mer en morgenfugl eller en natteravn?;¿Eres más una persona de la mañana o una noctámbula?
11;What's your favorite cuisine?;Qual è la tua cucina preferita?;Hva er ditt favorittkjøkken?;¿Cuál es tu cocina favorita?
12;Do you have any pets?;Hai animali domestici?;Har du noen kjæledyr?;¿Tienes alguna mascota?
13;What's your idea of a perfect date?;Qual è la tua idea di un appuntamento perfetto?;Hva er din ide om en perfekt date?;¿Cuál es tu idea de una cita perfecta?
14;Do you prefer the city or the countryside?;Preferisci la città o la campagna?;Foretrekker du byen eller landet?;¿Prefieres la ciudad o el campo?
15;Do you believe in love at first sight?;Credi nell'amore a prima vista?;Tror du på kjærlighet ved første blikk?;¿Crees en el amor a primera vista?
16;What are your hobbies?;Quali sono i tuoi hobby?;Hva er dine hobbyer?;¿Cuáles son tus hobbies?
17;What are you passionate about?;Cosa ti appassiona?;Hva er du lidenskapelig opptatt av?;¿Qué te apasiona?
18;Do you have any siblings?;Hai fratelli o sorelle?;Har du noen søsken?;¿Tienes hermanos o hermanas?
19;What was your favorite subject in school?;Qual era la tua materia preferita a scuola?;Hva var ditt favorittfag på skolen?;¿Cuál era tu materia favorita en la escuela?
20;Where would you like to travel to next?;Dove vorresti viaggiare la prossima volta?;Hvor vil du reise til neste gang?;¿A dónde te gustaría viajar la próxima vez?
21;Have you ever been in love?;Sei mai stato/a innamorato/a?;Har du vært forelsket før?;¿Alguna vez has estado enamorado/a?
22;What's your favorite way to relax?;Qual è il tuo modo preferito di rilassarti?;Hva er din favorittmåte å slappe av på?;¿Cuál es tu forma favorita de relajarte?
23;What's your favorite thing about yourself?;Qual è la cosa che preferisci di te stesso/a?;Hva liker du best ved deg selv?;¿Qué es lo que más te gusta de ti mismo/a?
24;What do you value most in a relationship?;Cosa apprezzi di più in una relazione?;Hva verdsetter du mest i et forhold?;¿Qué valoras más en una relación?
25;Tell me a fun fact about yourself.;Dimmi un fatto divertente su di te.;Fortell meg en morsom fakta om deg selv.;Cuéntame un dato divertido sobre ti.
26;What are your life goals?;Quali sono i tuoi obiettivi nella vita?;Hva er livsmålene dine?;¿Cuáles son tus metas en la vida?
27;What's your favorite dessert?;Qual è il tuo dessert preferito?;Hva er din favorittdessert?;¿Cuál es tu postre favorito?
28;What's the bravest thing you've ever done?;Qual è la cosa più coraggiosa che tu abbia mai fatto?;Hva er det modigste du noensinne har gjort?;¿Cuál es la cosa más valiente que has hecho?
29;What do you like about your job?;Cosa ti piace del tuo lavoro?;Hva liker du ved jobben din?;¿Qué te gusta de tu trabajo?
30;What's the first thing you notice about a person?;Qual è la prima cosa che noti in una persona?;Hva er det første du legger merke til ved en person?;¿Qué es lo primero que notas de una persona?
31;What are your hobbies?;Quali sono i tuoi hobby?;Hva er dine hobbyer?;¿Cuáles son tus hobbies?
32;What's your favorite cuisine?;Qual è la tua cucina preferita?;Hva er din favorittmat?;¿Cuál es tu cocina favorita?
