en-EN;it-IT;nb-NO
the;il;den
be;essere;være
to;per;a
of;di;av
and;e;og
a;un;en
in;in;i
that;che;det
have;av;ha
I;io;jeg
it;esso;det
for;per;for
not;non;ikke
on;sopra;på
with;con;med
he;egli;han
as;come;som
you;tu;du
do;fare;gjøre
at;a;a
this;questo;dette
but;ma;men
his;il suo;hans
by;da;ved
from;da;fra
they;essi;de
we;noi;vi
say;dire;si
her;lei;hennes
she;lei;hun
or;o;eller
an;un;en
will;volontà;vil
my;mio;min
one;uno;en
all;tutti;alle
would;sarebbe;ville
there;ci;det
their;loro;deres
what;che;hva
so;così;så
up;su;opp
out;fuori;ut
if;se;hvis
about;circa;om
who;che;hvem
get;ottenere;få
which;quale;hvilken
go;vai;gå
me;me;meg
when;quando;når
make;fare;lage
can;può;kan
like;come;som
time;tempo;tid
no;no;ingen
just;solo;bare
him;lo;ham
know;sapere;vet
take;prendere;ta
people;persone;folk
into;in;inn
year;anno;år
your;il tuo;dine
good;buono;godt
some;alcuni;noen
could;potrebbe;kunne
them;loro;dem
see;vedere;se
other;altro;annen
than;che;enn
then;allora;så
now;ora;nå
look;guarda;se
only;solo;bare
come;venire;komme
its;suo;dens
over;sopra;over
think;pensare;tenke
also;anche;også
back;indietro;tilbake
after;dopo;etter
use;uso;bruk
two;due;to
how;come;hvordan
our;nostro;vår
work;lavoro;arbeid
first;primo;første
well;beh;godt
way;modo;vei
even;anche;selv
new;nuovo;ny
want;volere;vil
because;perché;fordi
any;qualunque;noen
these;questi;dette
give;dare;gi
day;giorno;dag
most;la maggior parte;de fleste
us;noi;oss
